시도,시군구,자격별,성별,연령구분,신청자, 계 , 1등급 , 2등급 , 3등급 , 4등급 , 5등급 , 등급외 
서울특별시,종로구,일반,남자,65세미만,32,17,4,1,6,6,0,3
서울특별시,종로구,일반,남자,65-69세,35,18,3,4,6,5,0,4
서울특별시,종로구,일반,남자,70-74세,75,45,11,11,13,10,0,7
서울특별시,종로구,일반,남자,75-79세,99,64,8,12,20,19,5,6
서울특별시,종로구,일반,남자,80-84세,81,56,5,7,20,22,2,5
서울특별시,종로구,일반,남자,85세이상,105,77,4,21,26,24,2,12
서울특별시,종로구,일반,여자,65세미만,27,13,1,6,1,4,1,7
서울특별시,종로구,일반,여자,65-69세,57,28,7,4,11,5,1,5
서울특별시,종로구,일반,여자,70-74세,112,48,3,7,17,19,2,15
서울특별시,종로구,일반,여자,75-79세,230,147,18,23,47,49,10,26
서울특별시,종로구,일반,여자,80-84세,281,191,24,37,64,56,10,27
서울특별시,종로구,일반,여자,85세이상,366,293,39,68,96,79,11,19
서울특별시,종로구,기초,남자,65세미만,10,5,0,0,2,3,0,1
서울특별시,종로구,기초,남자,65-69세,9,4,1,1,2,0,0,1
서울특별시,종로구,기초,남자,70-74세,14,6,0,1,1,4,0,4
서울특별시,종로구,기초,남자,75-79세,11,5,0,1,0,3,1,2
서울특별시,종로구,기초,남자,80-84세,10,4,0,0,0,4,0,3
서울특별시,종로구,기초,남자,85세이상,9,5,0,0,2,3,0,3
서울특별시,종로구,기초,여자,65세미만,3,3,1,0,1,1,0,0
서울특별시,종로구,기초,여자,65-69세,13,2,1,0,0,1,0,5
서울특별시,종로구,기초,여자,70-74세,20,6,0,2,1,2,1,5
서울특별시,종로구,기초,여자,75-79세,43,13,0,2,2,9,0,16
서울특별시,종로구,기초,여자,80-84세,40,19,2,6,3,7,1,10
서울특별시,종로구,기초,여자,85세이상,76,60,9,14,16,20,1,8
서울특별시,종로구,의료,남자,65세미만,0,0,0,0,0,0,0,0
서울특별시,종로구,의료,남자,65-69세,0,0,0,0,0,0,0,0
서울특별시,종로구,의료,남자,70-74세,1,1,0,0,0,1,0,0
서울특별시,종로구,의료,남자,75-79세,1,0,0,0,0,0,0,0
서울특별시,종로구,의료,남자,80-84세,1,1,0,0,1,0,0,0
서울특별시,종로구,의료,남자,85세이상,1,0,0,0,0,0,0,0
서울특별시,종로구,의료,여자,65세미만,0,0,0,0,0,0,0,0
서울특별시,종로구,의료,여자,65-69세,1,0,0,0,0,0,0,0
서울특별시,종로구,의료,여자,70-74세,0,0,0,0,0,0,0,0
서울특별시,종로구,의료,여자,75-79세,1,0,0,0,0,0,0,0
서울특별시,종로구,의료,여자,80-84세,3,2,0,1,0,0,1,0
서울특별시,종로구,의료,여자,85세이상,2,2,0,1,1,0,0,0
서울특별시,종로구,감경,남자,65세미만,2,2,1,0,0,1,0,0
서울특별시,종로구,감경,남자,65-69세,3,3,0,1,1,1,0,0
서울특별시,종로구,감경,남자,70-74세,4,4,0,0,2,2,0,0
서울특별시,종로구,감경,남자,75-79세,6,5,1,1,3,0,0,1
서울특별시,종로구,감경,남자,80-84세,4,2,0,0,2,0,0,1
서울특별시,종로구,감경,남자,85세이상,8,8,0,1,3,3,1,0
서울특별시,종로구,감경,여자,65세미만,2,2,1,0,1,0,0,0
서울특별시,종로구,감경,여자,65-69세,6,5,0,2,2,1,0,0
서울특별시,종로구,감경,여자,70-74세,7,6,1,1,1,3,0,0
서울특별시,종로구,감경,여자,75-79세,14,11,2,3,3,2,1,2
서울특별시,종로구,감경,여자,80-84세,12,11,6,0,3,0,2,1
서울특별시,종로구,감경,여자,85세이상,47,43,7,12,12,11,1,0
서울특별시,중구,일반,남자,65세미만,31,12,3,2,5,2,0,11
서울특별시,중구,일반,남자,65-69세,35,16,1,1,11,3,0,9
서울특별시,중구,일반,남자,70-74세,42,24,4,6,9,4,1,10
서울특별시,중구,일반,남자,75-79세,65,49,2,9,16,18,4,5
서울특별시,중구,일반,남자,80-84세,73,55,2,12,28,12,1,5
서울특별시,중구,일반,남자,85세이상,72,41,2,5,15,17,2,12
서울특별시,중구,일반,여자,65세미만,23,9,2,1,4,2,0,8
서울특별시,중구,일반,여자,65-69세,59,16,1,2,4,9,0,21
서울특별시,중구,일반,여자,70-74세,94,35,3,3,13,11,5,24
서울특별시,중구,일반,여자,75-79세,151,83,5,14,29,28,7,32
서울특별시,중구,일반,여자,80-84세,204,137,9,23,50,44,11,22
서울특별시,중구,일반,여자,85세이상,263,210,17,38,79,62,14,16
서울특별시,중구,기초,남자,65세미만,17,6,2,1,2,1,0,6
서울특별시,중구,기초,남자,65-69세,11,3,0,1,2,0,0,2
서울특별시,중구,기초,남자,70-74세,13,4,0,0,0,3,1,4
서울특별시,중구,기초,남자,75-79세,18,8,0,1,3,4,0,6
서울특별시,중구,기초,남자,80-84세,9,3,1,0,1,1,0,1
서울특별시,중구,기초,남자,85세이상,7,5,1,0,3,1,0,1
서울특별시,중구,기초,여자,65세미만,2,1,0,0,1,0,0,0
서울특별시,중구,기초,여자,65-69세,19,4,0,2,1,0,1,8
서울특별시,중구,기초,여자,70-74세,31,8,0,1,2,2,3,15
서울특별시,중구,기초,여자,75-79세,53,18,1,2,5,8,2,25
서울특별시,중구,기초,여자,80-84세,47,23,3,5,6,8,1,12
서울특별시,중구,기초,여자,85세이상,45,21,1,1,11,8,0,14
서울특별시,중구,의료,남자,65세미만,0,0,0,0,0,0,0,0
서울특별시,중구,의료,남자,65-69세,0,0,0,0,0,0,0,0
서울특별시,중구,의료,남자,70-74세,0,0,0,0,0,0,0,0
서울특별시,중구,의료,남자,75-79세,1,0,0,0,0,0,0,1
서울특별시,중구,의료,남자,80-84세,3,1,0,0,1,0,0,0
서울특별시,중구,의료,남자,85세이상,0,0,0,0,0,0,0,0
서울특별시,중구,의료,여자,65세미만,0,0,0,0,0,0,0,0
서울특별시,중구,의료,여자,65-69세,0,0,0,0,0,0,0,0
서울특별시,중구,의료,여자,70-74세,2,0,0,0,0,0,0,1
서울특별시,중구,의료,여자,75-79세,3,1,0,0,0,0,1,2
서울특별시,중구,의료,여자,80-84세,1,1,0,0,1,0,0,0
서울특별시,중구,의료,여자,85세이상,2,1,0,0,1,0,0,1
서울특별시,중구,감경,남자,65세미만,2,1,0,0,1,0,0,1
서울특별시,중구,감경,남자,65-69세,6,6,0,0,4,1,1,0
서울특별시,중구,감경,남자,70-74세,11,8,2,2,3,1,0,3
서울특별시,중구,감경,남자,75-79세,3,2,0,0,1,1,0,1
서울특별시,중구,감경,남자,80-84세,4,4,0,0,3,1,0,0
서울특별시,중구,감경,남자,85세이상,3,3,0,0,1,1,1,0
서울특별시,중구,감경,여자,65세미만,2,2,0,1,1,0,0,0
서울특별시,중구,감경,여자,65-69세,1,1,0,1,0,0,0,0
서울특별시,중구,감경,여자,70-74세,6,5,0,1,1,1,2,1
서울특별시,중구,감경,여자,75-79세,4,3,1,1,1,0,0,1
서울특별시,중구,감경,여자,80-84세,27,24,3,3,13,5,0,2
서울특별시,중구,감경,여자,85세이상,19,19,1,3,7,8,0,0
서울특별시,용산구,일반,남자,65세미만,44,23,4,6,9,3,1,7
서울특별시,용산구,일반,남자,65-69세,56,32,5,6,10,11,0,3
서울특별시,용산구,일반,남자,70-74세,88,60,8,12,22,17,1,6
서울특별시,용산구,일반,남자,75-79세,103,66,8,10,28,17,3,13
