연번,구별,해당동,경로당 명칭,소재지,부지(㎡),건물(㎡),남성등록회원수,여성등록회원수,전화번호,비 고
1,동구,중앙동,소제동,계족로 241(소제동),97.05,161,14,22,672-0566,
2,동구,중앙동,신안동,부흥길 45(신안동),593,100,15,35,626-5625,
3,동구,중앙동,신안동사랑방,새둑길 39(신안동),281,103,19,15,623-8298,
4,동구,중앙동,중앙동,대전로815번길 55(정동),348.1,210,17,26,256-3293,
5,동구,중앙동,향우,대동천우안4길 46(신안동),179,64,15,17,631-3321,
6,동구,신인동,6.25참전용사회,대흥로206번길 27(인동),123.1,195,73,12,282-0625,
7,동구,신인동,신흥마을(아),"옥천로 38,신흥마을(아)(신흥동)",893,107,14,21,286-4006,
8,동구,신인동,신흥(여),마을회관길 48(신흥동),301.59,92,0,22,282-8101,
9,동구,신인동,신흥동제1,마을회관길 48(신흥동),485,86,34,0,282-8101,
10,동구,신인동,신흥동제2,새터1길 9(신흥동),148.8,171,21,24,283-5280,
11,동구,신인동,어진마을(아),"계족로 65,어진마을(아)(인동)",142.6,143,20,24,286-1902,
12,동구,신인동,인동,충무로203번길 28-25(인동),494.2,66,6,26,282-6467,
13,동구,신인동,인동한울(아),"대흥로206번길 54,한울(아)(인동)",78,66,22,20,284-0266,
14,동구,신인동,인동현대(아),"대전로 664,현대(아)(인동)",118.59,119,5,45,272-6650,
15,동구,효동,가오동,대전로 459-10(가오동),165,120,17,15,274-2544,
16,동구,효동,가오(아),대전로448번길 11(가오동),64.8,65,6,31,272-2292,
17,동구,효동,신기,대전로472번길 49(가오동),122,121,9,32,274-2742,
18,동구,효동,오륜정,천동초등4길 8(천동),169,58,15,15,284-6793,
19,동구,효동,우정,천동초등2길3(효동),118,66,25,17,283-6788,
20,동구,효동,은어송마을1단지(아),"동구청로 67, 은어송마을1단지(아)(가오동)",122.6,122,14,19,320-7222,
21,동구,효동,은어송마을3단지(아),"은어송로 117, 은어송마을3단지(아)(가오동)",125,125,17,27,286-2084,
22,동구,효동,은어송마을4단지(아),"은어송로 116, 은어송마을4단지(아)(가오동)",104,103,8,15,286-1086,
23,동구,효동,은어송마을5단지(아),"은어송로 100, 은어송마을5단지(아)(가오동)",143.9,138,13,26,283-6615,
24,동구,효동,은어송마을6단지(아),"신기로 100, 은어송마을6단지(아)(가오동)",79.17,78,11,14,271-2339,
25,동구,효동,천동주공(아),"대전로 499, 천동주공(아)(천동)",35.27,43,9,26,283-1528,
26,동구,효동,천동휴먼시아1단지(아),"대전로542번길 78,휴먼시아1단지(아)(천동)",109.45,109,20,28,274-2724,
27,동구,효동,천동휴먼시아2단지(아),"대전로542번길 78-1,휴먼시아2단지(아)(천동)",101.72,99,16,19,284-1300,
28,동구,효동,알바위,대전로 570-49(천동),99,36,0,21,271-0032,
29,동구,효동,홍익(아),"대전로 529,홍익(아)(천동)",24,26,8,13,272-5556,
30,동구,효동,효동현대(아),"대전로 646,현대(아)(효동)",219,165,14,51,271-8882,
31,동구,효동,효천,효천1길 69(효동),340,163,23,18,272-5328,
32,동구,효동,위드힐(아),"대전로542번길 121(천동,위드힐(아))",52181.4,100,14,13,285-9403,
33,동구,판암1동,미리내(아),"동구청로203번길 35,미리내(아)(판암동)",152.46,153,5,24,272-8781,
34,동구,판암1동,삼정동,옥천로 355-7(삼정동),168,104.2,20,20,273-0755,
35,동구,판암1동,삼징이,삼정로130번길 27(삼정동),200,98,16,18,273-8822,
36,동구,판암1동,집너머,신기로101번길 122(판암동),205,65,0,38,272-3216,
37,동구,판암1동,판암1동제1,옥천로176번길 15-9(판암동),206,142,30,24,284-3359,
38,동구,판암1동,"판암주공1,2단지(아)","옥천로180번길 47-2,주공1단지(아)(판암동)",214,214,30,50,282-0356,
39,동구,판암1동,판암주공3단지(아),"옥천로 152-9,주공3단지(아)(판암동)",121,121,39,71,271-6957,
40,동구,판암2동,판암2동제1,대동천우안1길 60(판암동),163.5,131.5,20,28,272-4045,
41,동구,판암2동,판암주공4단지(아),"동부로 56-7,주공4단지(아)(판암동)",327.8,328,30,90,282-9193,
42,동구,판암2동,판암주공5단지(아),"동부로 73,주공5단지(아)(판암동)",458.03,121,13,15,272-0101,
43,동구,판암2동,판암주공6단지(아),"동부로 55-58,주공5단지(아)(판암동)",121,130,11,28,272-4215,
44,동구,판암2동,한밭,달기장3길 1(판암동),24,50,24,39,271-1892,
45,동구,용운동,모리,동부로85번길 39(용운동),198.8,84.11,38,0,282-2154,
46,동구,용운동,초원,용운로205번길 59(용운동),245,132,21,11,285-9492,
47,동구,용운동,삼정하이츠(아),"동부로73번길 95,삼정하이츠(용운동)",199,66,13,12,272-7948,
