시군구,시설종류,시 설 명,시설장,시설설치일,시  설  소 재 지,입소한남성수,입소한여성수,부지(㎡),건물(㎡),남성종사자수,여성종사자수,전화번호,설치주체,운영주체
동구,노인요양공동생활가정,더편한요양원,최한나,2012.02.09.,동구 산내로 986-7(삼괴동),3,4,433,224,1,7,274-9488,개인,
동구,노인요양공동생활가정,더불어사는집,김종필,2008.09.24.,동구 대별로 26-39(대별동),0,8,660,126,2,3,274-4009,개인,
동구,노인요양공동생활가정,보금자리효요양원,안영주,2010.04.22.,"동구 용운로 121,201호(용운동)",1,4,659,112,0,5,285-9851,개인,
동구,노인요양공동생활가정,보금자리효요양원2,임대운,2011.07.29.,"동구 용운로 121,202호(용운동)",0,9,659,197,1,6,285-9850,개인,
동구,노인요양공동생활가정,새빛사랑의집,김동범,2010.03.02.,동구 산내로 960(삼괴동),1,7,992,153,2,3,321-8118,개인,
동구,노인요양공동생활가정,에덴노인요양원,김선미,2004.06.09.,"동구 산내로 237,A동(하소동)",3,6,"2,740",272,1,4,286-9191,개인,
동구,노인요양공동생활가정,예스시니어,박민지,2009.11.27.,동구 옥천로 131-17(판암동),1,8,609,194,1,4,286-2700,개인,
동구,노인요양공동생활가정,평화실버하우스,이정민,2010.03.02.,동구 대전로 825(정동),0,7,449,148,0,5,256-1700,사단법인,대전노인의전화
동구,노인요양공동생활가정,한가족노인요양원,길양권,2014.02.03.,동구 계족로 75(신흥동),1,8,733,309,1,7,070-7865-1505,개인,
동구,노인요양공동생활가정,한울노인요양원,김선희,2009.09.11.,동구 대전로 696(인동),0,9,299,292,0,6,285-1288,개인,
중구,노인요양공동생활가정,보아스의 집,하성임,2010 08 26,중구 계백로 1646번길 77(유천동),1,4,409.6,188.5,1,4,582-6740,개인,
중구,노인요양공동생활가정,보문현대실버홈,남해숙,2009.07.13,중구 봉소루로 22(석교동),3,5,607,371.15,2,4,272-5388,개인,
중구,노인요양공동생활가정,대전남부비젼복지타운,송남주,2009.11.06,중구 봉소루로 54번길 21(석교동),0,8,651,255.45,0,6,284-3005,사회복지법인,이웃사랑복지재단
중구,노인요양공동생활가정,사랑의집,김성배,2010.08.23,중구 돌다리로 47(석교동),1,7,485,196.4,3,3,320-6030,개인,
