시군구,시설종류,시 설 명,시설장,시설설치일,시  설  소 재 지,입 소 현 황,남성입소인원,여성입소인원,부지(㎡),건물(㎡),남성종사자수,여성종사자수,전화번호,설치주체,운영주체
동구,노인요양시설,가원 노인전문요양원,변동명,2014.01.21., 동구 우암로351(가양동),28,7,21,349,662,3,16,625-2904,개인,
동구,노인요양시설,금성노인요양원,성용순,2006.11.01.,동구 산내로560번길 18-13(상소동),118,22,61,8120,2786,7,41,274-4700,사회복지법인,금성복지재단
동구,노인요양시설,나날요양원,김성호,2014.05.02.,동구 태전로 5(중동),77,24,50,1579,2214,4,44,226-7575,사단법인,㈜스타라인
동구,노인요양시설,다복노인요양원,강기호,2014.04.04.,동구 계족로316(성남동),18,2,16,378,438,1,12,638-0717,사회복지법인,효마을복지재단
동구,노인요양시설,대전노인요양원,박영준,1992.02.27.,동구 신기로 109-22(가오동),108,23,66,4222,2706,10,42,283-6304,사회복지법인,선우복지재단
동구,노인요양시설,밝은요양원,김정흠,2013.08.23.,동구 대전로 354-7(대성동),87,14,66,522,2066,1,44,286-2863,사단법인,㈜밝은노인요양원
동구,노인요양시설,벧엘너싱홈,이정명,2015.8.27,동구 동중앙로 108-3(자양동),12,2,10,264,238,0,10,626-7558,개인,
동구,노인요양시설,산내노인종합센터,류주연,2010.04.13.,동구 산내로1287번길 73(낭월동),20,0,16,365,561,2,11,285-6800,사회복지법인,금성복지재단
동구,노인요양시설,온누리노인요양원,박영미,2008.10.09.,동구 이사로 68-21(이사동),72,12,55,1921,1608,3,42,282-0717,사회복지법인,효마을복지재단
동구,노인요양시설,임마누엘실버홈,남선욱,2004.11.09.,동구 신기로 109-21(판암동),98,25,59,4908,2657,9,42,284-5288,사회복지법인,선우복지재단
동구,노인요양시설,플래티늄,주영남,2008.11.06.,동구 새울로 10-12(판암동),100,21,75,1794,2575,4,47,721-2000,사단법인,㈜플래티늄
동구,노인요양시설,한우리요양센터,오현진,2011.01.05.,동구 계족로 184-38(대동),74,12,37,719,1858,4,26,628-2323,개인,
동구,노인요양시설,해드림실버요양원,윤주성,2012.04.17,동구 동구청로 95(가오동),23,6,18,972,550,1,14,284-1234,개인,
동구,노인요양시설,행복드림노인전문요양원,배도수,2013.07.03.,동구 태전로 72(삼성동),157,34,101,636,37098,7,69,605-1004,개인,
동구,노인요양시설,효원노인요양원,이승찬,2005.06.22.,동구 보문로 4(효동),29,1,29,1127,978,3,18,271-9805,개인,
동구,노인요양시설,With 다솜요양원,,2016.12.6.,동구 우암로 234(가양동),28,0,0,2208,1377.5,2,2,639-6061,개인,
동구 ,노인요양시설,하나요양원,,2016.10.12.,"동구 은어송로 62, 6층(가오동)",19,0,0,582.2,458,0,0,282-8500,개인,
중구,노인요양시설,실버랜드,노금선,2002.01.23,중구 단재로 426-58 (어남동),100,11,71,6198,2673,5,51,285-7391,사회복지법인,선아복지재단
중구,노인요양시설,선한이웃노인요양원,조인순,2011.04.01,중구 당골길207-17(금동),38,12,24,1585,404,9,18,286-8468,사회복지법인,선한이웃재단
중구,노인요양시설,좋은마을,이장숙,2007.03.13,중구 당골길 235(금동),72,18,46,2950,1715,7,35,271-8582,사회복지법인,좋은이웃재단
중구,노인요양시설,한사랑노인전문요양원,이경록,"2008,03,13",중구 대종로203(석교동),40,2,22,540,978,3,17,286-8855,개인,
