시군구,서비스종류,시 설 명,소   재   지,전화번호,남성이용현원,여성이용현원,남성종사자수,여성종사자수,시설설치일,설치주체,운영주체
동구,재가노인지원,금성노인복지센터,우암로159(성남동),626-7530,23,66,2,1,2000.03.22.,사회복지법인,금성복지재단
동구,재가노인지원,선우노인복지센터,신기로 109-22(가오동),273-0045,20,73,1,2,1994.03.28.,사회복지법인,선우복지재단
중구,재가노인지원,대전노인복지센터,중구 범골로 97(호동),283-4567,24,63,1,3,2002.03.08,사회복지법인,나눔복지재단
중구,재가노인지원,이웃사랑재가노인노인지원서비스센터,중구 문창로123(문창동),222-2190,17,77,1,2,2008.06.04,사회복지법인,이웃사랑복지재단
중구,재가노인지원,샛별재가노인복지센터,테미로 26(대흥동),224-9988,30,50,0,3,2008.01.03,사단법인,대한노인회 대전광역시연합회
중구,재가노인지원,기아대책노인복지센터,중구 동서대로 1404번길 37(목동),254-0841,14,70,1,3,2005.06.07,사회복지법인,기아대책
중구,재가노인지원,한밭노인복지센터,중구 산서로 62번길 1(사정동),582-9179,21,51,1,3,2008.01.03,사단법인,월드복음선교협의회
중구,재가노인지원,남대전노인복지센터,중구 보문로 190 (대흥동),273-0002,18,54,0,3,2007.05.28,개인, 
중구,재가노인지원,행복플러스노인복지센터,중구 보문로 190 2호(대흥동),255-3232,2,3,1,2,2013.05.15,사회복지법인,행복플러스복지재단
서구,재가노인지원,대전은혜노인복지센터,서구제비네10길 78(도마동),586-6297,31,53,0,3,2012.06.12,법인,법인
서구,재가노인지원,서구노인복지관 재가지원센터,서구 남선로 66(탄방동),488-6297,10,74,1,4,1999.05.06,법인,법인
서구,재가노인지원,충우재가노인지원센터,서구 계룡로 553번안길 29,477-1475,2,8,1,0,2012.10.16,법인,법인
유성구,재가노인지원,한빛노인복지센터,유성구 대학로 159번길 67(궁동),823-5590,18,52,0,2,2006.12.27,법인,(사단)엠마오호스피스
유성구,재가노인지원,유성노인복지센터,유성구 수통골로71번길 10(덕명동),823-7440,26,69,2,2,2003.01.07,법인,(사복)선우복지재단
대덕구,재가노인지원,대전가톨릭노인복지센터,대덕구 우암로 491번길 41 (비래동),635-5609,17,67,1,2,1999.06.15,법인,대전가톨릭사회복지회
대덕구,재가노인지원,대덕사랑노인복지센터,대덕구 송촌북로 36번길 10 송촌컨벤션센터 507호,621-2024,9,71,3,0,2006.03.03,사회복지법인,대덕사랑교육문화복지재단
